# TSIS-1 Hybrid Solar Reference Spectrum (HSRS) v1 — B11 + B12 wavelength ranges.
# Source: Coddington et al. 2021, Geophys. Res. Lett. 48, e2020GL091709 (doi:10.1029/2020GL091709).
#   Downloaded from LASP LISIRD (lasp.colorado.edu/lisird/data/tsis1_hsrs) via the LaTiS CSV API
#   on 2026-07-07. Ranges: 1530-1690 nm (B11) and 2070-2330 nm (B12); native 0.001 nm resolution
#   decimated to ~0.02 nm here (the CH4 fine structure comes from HITRAN, not the solar envelope).
# irradiance is solar spectral irradiance E_lambda in W/m^2/nm at 1 AU. The LUT generator converts
#   the SHAPE to per-wavenumber E_nu via the lambda^2 Jacobian (E_nu ∝ E_lambda·lambda^2) before use.
# wavelength in nm; irradiance in W m^-2 nm^-1.
wavelength_nm,irradiance_w_m2_nm
1534.280,2.760535e-01
1534.300,2.749934e-01
1534.320,2.777435e-01
1534.340,2.784806e-01
1534.360,2.787209e-01
1534.380,2.788212e-01
1534.400,2.788682e-01
1534.420,2.788846e-01
1534.440,2.788775e-01
1534.460,2.786813e-01
1534.480,2.763197e-01
1534.500,2.776088e-01
1534.520,2.783629e-01
1534.540,2.773230e-01
1534.560,2.710025e-01
1534.580,2.692979e-01
1534.600,2.769610e-01
1534.620,2.782726e-01
1534.640,2.785824e-01
1534.660,2.786589e-01
1534.680,2.786033e-01
1534.700,2.777817e-01
1534.720,2.769885e-01
1534.740,2.773034e-01
1534.760,2.744217e-01
1534.780,2.582555e-01
1534.800,2.200844e-01
1534.820,2.570179e-01
1534.840,2.739278e-01
1534.860,2.767316e-01
1534.880,2.768674e-01
1534.900,2.747487e-01
1534.920,2.700894e-01
1534.940,2.748542e-01
1534.960,2.768018e-01
1534.980,2.765623e-01
1535.000,2.733024e-01
1535.020,2.725974e-01
1535.040,2.767735e-01
1535.060,2.778274e-01
1535.080,2.781973e-01
1535.100,2.783548e-01
1535.120,2.784186e-01
1535.140,2.784314e-01
1535.160,2.783969e-01
1535.180,2.783053e-01
1535.200,2.781128e-01
1535.220,2.776756e-01
1535.240,2.763849e-01
1535.260,2.741030e-01
1535.280,2.744332e-01
1535.300,2.650432e-01
1535.320,2.581712e-01
1535.340,2.728997e-01
1535.360,2.767435e-01
1535.380,2.767078e-01
1535.400,2.778715e-01
1535.420,2.783428e-01
1535.440,2.784074e-01
1535.460,2.784090e-01
1535.480,2.777262e-01
1535.500,2.772590e-01
1535.520,2.783468e-01
1535.540,2.783855e-01
1535.560,2.783425e-01
1535.580,2.782718e-01
1535.600,2.781525e-01
1535.620,2.779280e-01
1535.640,2.774553e-01
1535.660,2.762032e-01
1535.680,2.709921e-01
1535.700,2.714630e-01
1535.720,2.762703e-01
1535.740,2.774324e-01
1535.760,2.778340e-01
1535.780,2.778062e-01
1535.800,2.752198e-01
1535.820,2.707401e-01
1535.840,2.770091e-01
1535.860,2.770465e-01
1535.880,2.772510e-01
1535.900,2.771673e-01
1535.920,2.778743e-01
1535.940,2.782595e-01
1535.960,2.782827e-01
1535.980,2.782767e-01
1536.000,2.782707e-01
1536.020,2.782620e-01
1536.040,2.782560e-01
1536.060,2.782472e-01
1536.080,2.782385e-01
1536.100,2.782297e-01
1536.120,2.782209e-01
1536.140,2.782122e-01
1536.160,2.781295e-01
1536.180,2.749948e-01
1536.200,2.773008e-01
1536.220,2.781743e-01
1536.240,2.781656e-01
1536.260,2.781161e-01
1536.280,2.770572e-01
1536.300,2.748251e-01
1536.320,2.770272e-01
1536.340,2.780301e-01
1536.360,2.779999e-01
1536.380,2.778402e-01
1536.400,2.768066e-01
1536.420,2.720153e-01
1536.440,2.641354e-01
1536.460,2.715164e-01
1536.480,2.763349e-01
1536.500,2.756794e-01
1536.520,2.673288e-01
1536.540,2.583396e-01
1536.560,2.720203e-01
1536.580,2.768574e-01
1536.600,2.776803e-01
1536.620,2.778769e-01
1536.640,2.779374e-01
1536.660,2.779564e-01
1536.680,2.779561e-01
1536.700,2.779445e-01
1536.720,2.778945e-01
1536.740,2.761205e-01
1536.760,2.705325e-01
1536.780,2.723845e-01
1536.800,2.772712e-01
1536.820,2.778085e-01
1536.840,2.778781e-01
1536.860,2.778736e-01
1536.880,2.774202e-01
1536.900,2.768481e-01
1536.920,2.777442e-01
1536.940,2.771711e-01
1536.960,2.770236e-01
1536.980,2.778354e-01
1537.000,2.778381e-01
1537.020,2.778293e-01
1537.040,2.778205e-01
1537.060,2.778118e-01
1537.080,2.777756e-01
1537.100,2.771090e-01
1537.120,2.764535e-01
1537.140,2.776116e-01
1537.160,2.777642e-01
1537.180,2.777592e-01
1537.200,2.777476e-01
1537.220,2.777389e-01
1537.240,2.777301e-01
1537.260,2.777213e-01
1537.280,2.777126e-01
1537.300,2.777010e-01
1537.320,2.776923e-01
1537.340,2.776807e-01
1537.360,2.776712e-01
1537.380,2.776577e-01
1537.400,2.776461e-01
1537.420,2.776300e-01
1537.440,2.776119e-01
1537.460,2.775905e-01
1537.480,2.775609e-01
1537.500,2.775163e-01
1537.520,2.774440e-01
1537.540,2.773074e-01
1537.560,2.769943e-01
1537.580,2.759047e-01
1537.600,2.756494e-01
1537.620,2.769006e-01
1537.640,2.772368e-01
1537.660,2.773648e-01
