# Sentinel-2 MSI B11/B12 spectral response functions (S2A + S2B), normalized.
# Source: ESA "Sentinel-2 Spectral Response Functions (S2-SRF)",
#   document COPE-GSEG-EOPG-TN-15-0007, issue 3.2 (2022-... , 10 Oct 2023 rev).
#   Downloaded from SentiWiki (sentiwiki.copernicus.eu/web/s2-documents) on 2026-07-06.
# Extracted from sheets 'Spectral Responses (S2A/S2B)', columns SR_WL, *_B11, *_B12.
# Rows restricted to wavelengths where any B11/B12 response is nonzero.
# wavelength in nm; response dimensionless (already normalized to peak 1 by ESA).
wavelength_nm,s2a_b11,s2a_b12,s2b_b11,s2b_b12
2074,0,0,0,0.01222618
2075,0,0,0,0.01458055
2076,0,0,0,0.01744267
2077,0,0,0,0.02104287
2078,0,0.00063835,0,0.02540339
2079,0,0.00102286,0,0.03057901
2080,0,0.00288712,0,0.03719619
2081,0,0.00399879,0,0.04572365
2082,0,0.00658916,0,0.05630242
2083,0,0.00765458,0,0.06994211
2084,0,0.00799918,0,0.08791078
2085,0,0.00853524,0,0.11057655
2086,0,0.00929493,0,0.13873936
2087,0,0.00999614,0,0.17311239
2088,0,0.01096645,0,0.21416774
2089,0,0.01208363,0,0.26175285
2090,0,0.01335837,0,0.31696031
2091,0,0.01501119,0,0.38057337
2092,0,0.01711931,0,0.44916129
2093,0,0.01977307,0,0.52246923
2094,0,0.02332743,0,0.59858476
2095,0,0.02765779,0,0.67183039
2096,0,0.03320435,0,0.73762307
2097,0,0.04020464,0,0.79267856
2098,0,0.04886709,0,0.83543144
2099,0,0.0596238,0,0.86612544
2100,0,0.07315348,0,0.88613168
2101,0,0.09050885,0,0.89739036
2102,0,0.11143964,0,0.90131058
2103,0,0.13686671,0,0.90056883
2104,0,0.16776886,0,0.89688046
2105,0,0.20341457,0,0.89211284
2106,0,0.24281992,0,0.88771935
2107,0,0.28484195,0,0.88417799
2108,0,0.32711894,0,0.88183136
2109,0,0.36834301,0,0.88142338
2110,0,0.40794043,0,0.88242075
2111,0,0.4447145,0,0.88687585
2112,0,0.47647207,0,0.89245189
2113,0,0.50303896,0,0.89861914
2114,0,0.52524762,0,0.90533051
2115,0,0.54328057,0,0.91254666
2116,0,0.55717994,0,0.91988456
2117,0,0.5685619,0,0.92662076
2118,0,0.57895708,0,0.93280462
2119,0,0.58860881,0,0.9381479
2120,0,0.59881758,0,0.94308713
2121,0,0.60990899,0,0.94528987
